,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2017-03-23,254.78,257.67,253.3,-0.09,255.39,255.01,3320245,20170323,3,0,4.3700000000000045,4.3700000000000045
2017-03-24,263.16,263.89,255.01,3.2889999999999997,255.7,254.78,5647253,20170324,4,1,6.732380952380952,6.786071428571428
2017-03-27,270.22,270.57,259.75,2.6830000000000003,260.6,263.16,6230795,20170327,0,2,10.043474320241646,10.225602716468543
2017-03-28,277.45,280.68,275.0,2.676,277.02,270.22,7987604,20170328,1,3,12.187679379444031,12.457164612037653
2017-03-29,277.38,279.6,275.54,-0.025,278.34,277.45,3676157,20170329,2,4,11.514353245647039,11.654337073092758
2017-03-30,277.92,282.0,277.21,0.195,278.04,277.38,4148426,20170330,3,5,10.110752215314116,10.066051854591874
2017-03-31,278.3,279.68,276.32,0.13699999999999998,278.73,277.92,3294640,20170331,4,6,8.850168913367302,8.65294454383109
2017-04-03,298.52,299.0,284.58,7.266,286.9,278.3,13888618,20170403,0,7,10.934176798039825,11.083493600583433
2017-04-04,303.7,304.81,294.53,1.735,296.89,298.52,10134556,20170404,1,8,13.39289892287166,13.923872023027934
2017-04-05,295.0,304.88,294.2,-2.865,302.04,303.7,7880938,20170405,2,9,12.991524553345217,13.355468922170177
2017-04-06,298.7,301.94,294.1,1.254,296.88,295.0,5520588,20170406,3,10,12.516824756539167,12.723879429352891
2017-04-07,302.54,302.69,297.15,1.286,297.5,298.7,4579613,20170407,4,11,11.872824026832053,11.905795018249002
2017-04-10,312.39,313.73,308.71,3.2560000000000002,309.15,302.54,7664458,20170410,0,12,12.276880911174029,12.399130661498832
2017-04-11,308.71,313.47,305.5,-1.178,313.38,312.39,5724577,20170411,1,13,12.11066818678011,12.172707963202768
2017-04-12,296.84,308.448,296.32,-3.845,306.34,308.71,6050682,20170412,2,14,12.583893920811338,12.761127954019043
2017-04-13,304.0,307.39,295.3,2.412,296.7,296.84,9284634,20170413,3,15,12.679884909342542,12.857396800995168
2017-04-17,301.44,304.0,298.68,-0.8420000000000001,302.7,304.0,4138736,20170417,0,16,12.054310660096954,12.024628325586022
2017-04-18,300.25,300.84,297.9,-0.395,299.7,301.44,3035698,20170418,1,17,11.394301185582435,11.169618686571622
2017-04-19,305.52,306.62,302.11,1.755,302.46,300.25,3898024,20170419,2,18,10.71893732648853,10.314618873489051
2017-04-20,302.51,309.15,300.23,-0.985,306.51,305.52,6149352,20170420,3,19,10.526844141617008,10.11739784328195
2017-04-21,305.6,306.4,300.42,1.021,302.0,302.51,4509756,20170421,4,20,10.048911342136853,9.536995787067239
2017-04-24,308.03,310.55,306.02,0.795,309.22,305.6,5083505,20170424,0,21,9.84070582938936,9.32844350519519
2017-04-25,313.79,313.98,305.86,1.87,308.0,308.03,6737708,20170425,1,22,9.69122009941376,9.197097685551915
2017-04-26,310.17,314.5,309.0,-1.1540000000000001,312.37,313.79,4695044,20170426,2,23,9.365291847921862,8.821369649024684
2017-04-27,308.63,313.09,307.5,-0.49700000000000005,311.69,310.17,3468569,20170427,3,24,9.057292780369835,8.474150702180344
2017-04-28,314.07,314.8,308.0,1.7630000000000001,309.83,308.63,4505478,20170428,4,25,8.833289226123114,8.245390282698606
2017-05-01,322.83,327.25,314.81,2.7889999999999997,314.88,314.07,8829565,20170501,0,26,9.796458529776553,9.65832875249643
2017-05-02,318.89,327.66,316.56,-1.22,324.0,322.83,5382777,20170502,1,27,10.167022051991324,10.192264455429635
2017-05-03,311.02,321.53,310.45,-2.468,317.67,318.89,7133365,20170503,2,28,10.38173739360612,10.488634989490125
2017-05-04,295.46,307.77,290.76,-5.003,307.435,311.02,14152008,20170504,3,29,12.093303170948479,12.873401308241485
2017-05-05,308.35,308.55,296.8,4.363,298.0,295.46,8177347,20170505,4,30,12.29726541076397,13.05509941913955
2017-05-08,307.19,313.79,305.82,-0.376,310.9,308.35,7006471,20170508,0,31,12.872962234676764,13.765712394210903
2017-05-09,321.26,321.99,309.1,4.58,309.38,307.19,9676537,20170509,1,32,12.945830408397068,13.748800318040765
2017-05-10,325.22,325.5,318.12,1.2329999999999999,321.56,321.26,5741607,20170510,2,33,13.453347691301907,14.361684709037785
2017-05-11,323.1,326.0,319.6,-0.652,323.4,325.22,4753819,20170511,3,34,12.788475380193537,13.292987078301461
2017-05-12,324.81,327.0,321.53,0.529,325.48,323.1,4121612,20170512,4,35,12.100917499949418,12.243847662160528
2017-05-15,315.88,320.2,312.53,-2.7489999999999997,318.38,324.81,7622004,20170515,0,36,11.957526282760446,12.01954241847039
2017-05-16,317.01,320.06,315.14,0.358,317.59,315.88,4152484,20170516,1,37,11.743856926996703,11.704901754841014
2017-05-17,306.11,314.63,305.5,-3.438,314.39,317.01,6711940,20170517,2,38,11.616781437440554,11.527579852817276
2017-05-18,313.06,313.94,305.31,2.27,307.0,306.11,5653801,20170518,3,39,11.624517693327585,11.550644546783001
2017-05-19,310.83,316.5,310.2,-0.7120000000000001,315.5,313.06,4687572,20170519,4,40,11.509988341386475,11.395452596226365
2017-05-22,310.35,314.37,306.8,-0.154,312.8,310.83,4329178,20170522,0,41,11.145145452991068,10.88413773369144
2017-05-23,303.86,310.73,303.48,-2.0909999999999997,310.46,310.35,4318354,20170523,1,42,10.794308245856074,10.411915246756667
2017-05-24,310.22,311.0,305.4,2.093,306.51,303.86,5041692,20170524,2,43,10.314863033754627,9.769142006752165
2017-05-25,316.83,316.97,307.81,2.131,311.02,310.22,5013963,20170525,3,44,10.572500983986306,10.215302321655367
2017-05-26,325.14,325.49,316.31,2.623,317.28,316.83,7802199,20170526,4,45,11.004939729842606,10.890196194703723
2017-05-30,335.1,336.28,325.76,3.063,326.0,325.14,7782916,20170530,1,46,11.781477010263872,12.032874162875295
2017-05-31,341.01,342.89,335.16,1.764,337.69,335.1,9963444,20170531,2,47,12.329721005278897,12.795950964951386
2017-06-01,340.37,344.88,337.29,-0.188,344.0,341.01,7607996,20170601,3,48,12.095735648732942,12.393461503423586
2017-06-02,339.85,342.88,335.93,-0.153,339.77,340.37,5590239,20170602,4,49,11.62392233292305,11.66709940807238
2017-06-05,347.32,348.44,334.21,2.198,338.5,339.85,6784368,20170605,0,50,11.862687514881202,12.00905091786256
2017-06-06,352.85,359.49,339.97,1.5919999999999999,344.7,347.32,11086798,20170606,1,51,12.574728782163453,13.027107942066985
2017-06-07,359.65,360.5,355.14,1.9269999999999998,356.34,352.85,9397959,20170607,2,52,12.630107870791933,13.04750391804075
2017-06-08,370.0,371.9,360.22,2.878,363.75,359.65,9061496,20170608,3,53,13.217150006529993,13.848189485477512
2017-06-09,357.32,376.87,354.8,-3.427,374.42,370.0,17261435,20170609,4,54,14.026234080342725,14.944849620410714
2017-06-12,359.01,364.5,350.62,0.473,357.99,357.32,10517660,20170612,0,55,14.515291706693406,15.536398757184902
2017-06-13,375.95,376.0,366.61,4.718999999999999,367.62,359.01,11807920,20170613,1,56,14.895563859441074,15.955665832635352
2017-06-14,380.66,384.25,376.31,1.253,381.085,375.95,12818429,20170614,2,57,15.839719187099721,17.1938848196947
2017-06-15,375.34,375.46,366.49,-1.3980000000000001,372.5,380.66,10426469,20170615,3,58,15.257641846302112,16.162477997816197
2017-06-16,371.4,378.01,370.1,-1.05,377.975,375.34,6730973,20170616,4,59,14.829176299977865,15.415341447060138
2017-06-19,369.8,376.7,367.8,-0.431,375.0,371.4,6549332,20170619,0,60,14.288546113019608,14.546488674008437
2017-06-20,372.24,378.88,369.73,0.66,376.67,369.8,7438701,20170620,1,61,13.820134159390724,13.82685593930031
2017-06-21,376.4,376.99,368.02,1.1179999999999999,374.35,372.24,4923210,20170621,2,62,13.378122198433772,13.17919643762853
2017-06-22,382.61,385.0,373.57,1.65,377.99,376.4,7529778,20170622,3,63,13.321802935889,13.123297691708734
2017-06-23,383.45,386.99,379.345,0.22,382.45,382.61,6445758,20170623,4,64,13.072949734718833,12.785493830670601
2017-06-26,377.49,386.95,373.1,-1.554,386.69,383.45,6604099,20170626,0,65,13.143721871325365,12.927439216055673
2017-06-27,362.37,376.4,362.02,-4.005,376.4,377.49,6996399,20170627,1,66,13.898291597078224,14.061191720799247
2017-06-28,371.24,371.74,362.52,2.448,366.68,362.37,6302463,20170628,2,67,13.995869135799058,14.182373358799685
2017-06-29,360.75,371.0,354.1,-2.826,370.61,371.24,8221038,20170629,3,68,14.260249274739557,14.544742239073933
2017-06-30,361.61,366.767,359.619,0.23800000000000002,363.71,360.75,5848521,20170630,4,69,14.020013328920978,14.154892540751842
2017-07-03,352.62,371.35,351.5,-2.4859999999999998,370.24,361.61,6305401,20170703,0,70,14.550622910750604,14.914269575510758
2017-07-05,327.09,347.24,326.33,-5.792000000000001,347.2,347.2,17046701,20170705,2,71,16.437085863413994,17.629791332854598
2017-07-06,308.83,320.79,306.3,-5.582999999999999,317.26,327.09,19324495,20170706,3,72,18.663104840801747,20.732575969463507
2017-07-07,313.22,317.0,307.38,1.421,313.5,308.83,14176915,20170707,4,73,18.758359509097932,20.596229073660066
2017-07-10,316.05,317.94,303.13,0.904,312.9,313.22,13820889,20170710,0,74,18.399135303345275,19.824715027376854
2017-07-11,327.22,327.28,314.3,3.534,316.0,316.05,11559402,20170711,1,75,18.004386309597344,19.05607181975564
2017-07-12,329.34,333.0,324.5,0.648,331.2,327.22,10346127,20170712,2,76,17.908470685114807,18.77525764090228
2017-07-13,323.41,331.6,319.97,-1.801,330.11,329.34,8594466,20170713,3,77,17.337363266893515,17.822543088118405
2017-07-14,327.78,328.42,321.22,1.351,323.19,323.41,5625211,20170714,4,78,16.49897093131886,16.528854748964026
2017-07-17,319.57,327.1,313.45,-2.505,325.54,327.78,9876912,20170717,0,79,16.239847073325357,16.145003353379096
2017-07-18,328.24,329.13,315.66,2.713,317.5,319.57,6373720,20170718,1,80,15.987930992235606,15.78833294132193
2017-07-19,325.26,331.65,323.219,-0.9079999999999999,328.23,328.24,6357014,20170719,2,81,15.632521144959297,15.293884586432998
2017-07-20,329.92,330.22,324.2,1.433,326.9,325.26,5166188,20170720,3,82,14.758334951217625,14.057358052880284
2017-07-21,328.4,331.25800000000004,325.8,-0.461,329.46,329.92,4901606,20170721,4,83,13.961675228513583,12.98277051045362
2017-07-24,342.52,343.399,330.01,4.3,330.24,328.4,8637082,20170724,0,84,13.917782357258293,13.048934787577787
2017-07-25,339.6,345.6,334.15,-0.853,345.0,342.52,6989197,20170725,1,85,14.216248026968724,13.602412651769756
2017-07-26,343.85,345.5,338.12,1.251,340.36,339.6,4820790,20170726,2,86,13.594615204308923,12.772754380426063
2017-07-27,334.46,347.5,326.29,-2.7310000000000003,346.0,343.85,8302405,20170727,3,87,14.28708061667515,13.897724283579075
2017-07-28,335.07,339.6,332.51,0.182,336.89,334.46,4880414,20170728,4,88,14.019108716488864,13.556693375341517
2017-07-31,323.47,341.49,321.04,-3.4619999999999997,335.5,335.07,8535136,20170731,0,89,14.603845254035416,14.475803269826194
2017-08-01,319.57,324.45,316.13,-1.206,323.0,323.47,8303102,20170801,1,90,14.998108600920407,15.071030816417922
2017-08-02,315.96,319.22,311.41,-1.13,319.0,319.57,119040,20170802,2,91,14.730966264745899,14.669559271681234
2017-08-03,347.09,350.0,343.15,9.853,345.33,315.96,13535033,20170803,3,92,16.15835299660018,16.7709548582043
